         10468 function calls (10063 primitive calls) in 13.962 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   13.937   13.937 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_utils/_utils.py:241(wrapper)
        1    0.000    0.000   13.937   13.937 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/resources/messages/messages.py:868(create)
        1    0.000    0.000   13.935   13.935 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:1265(post)
        1    0.000    0.000   13.935   13.935 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:942(request)
        1    0.000    0.000   13.935   13.935 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:964(_request)
        1    0.000    0.000   13.934   13.934 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:879(send)
        1    0.000    0.000   13.934   13.934 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:930(_send_handling_auth)
        1    0.000    0.000   13.934   13.934 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:964(_send_handling_redirects)
        1    0.000    0.000   13.934   13.934 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:1001(_send_single_request)
        1    0.000    0.000   13.934   13.934 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_transports/default.py:230(handle_request)
        1    0.000    0.000   13.933   13.933 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection_pool.py:199(handle_request)
        1    0.000    0.000   13.933   13.933 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection.py:69(handle_request)
        1    0.000    0.000   13.759   13.759 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:65(handle_request)
        4    0.001    0.000   13.758    3.440 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:209(_receive_event)
        1    0.000    0.000   13.758   13.758 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:170(_receive_response_headers)
        3    0.000    0.000   13.756    4.585 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:124(read)
        3    0.000    0.000   13.756    4.585 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1285(recv)
        3    0.000    0.000   13.756    4.585 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1154(read)
        3   13.756    4.585   13.756    4.585 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.174    0.174 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection.py:105(_connect)
        1    0.000    0.000    0.110    0.110 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:188(connect_tcp)
        1    0.000    0.000    0.109    0.109 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/socket.py:808(create_connection)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:144(start_tls)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:507(wrap_socket)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1014(_create)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1368(do_handshake)
        1    0.064    0.064    0.064    0.064 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.058    0.058 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/socket.py:938(getaddrinfo)
