         49962 function calls (47596 primitive calls) in 15.213 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   15.172   15.172 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_utils/_utils.py:241(wrapper)
        1    0.000    0.000   15.172   15.172 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/resources/messages/messages.py:868(create)
        1    0.000    0.000   15.171   15.171 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:1265(post)
        1    0.000    0.000   15.170   15.170 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:942(request)
        1    0.000    0.000   15.170   15.170 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:964(_request)
        1    0.000    0.000   15.129   15.129 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:879(send)
        1    0.000    0.000   15.128   15.128 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:930(_send_handling_auth)
        1    0.000    0.000   15.128   15.128 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:964(_send_handling_redirects)
        1    0.000    0.000   15.128   15.128 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:1001(_send_single_request)
        1    0.000    0.000   15.126   15.126 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_transports/default.py:230(handle_request)
        1    0.000    0.000   15.125   15.125 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection_pool.py:199(handle_request)
        1    0.000    0.000   15.125   15.125 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection.py:69(handle_request)
        1    0.000    0.000   14.955   14.955 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:65(handle_request)
        4    0.000    0.000   14.955    3.739 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:209(_receive_event)
        1    0.000    0.000   14.955   14.955 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:170(_receive_response_headers)
        3    0.000    0.000   14.954    4.985 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:124(read)
        3    0.000    0.000   14.954    4.985 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1285(recv)
        3    0.000    0.000   14.954    4.985 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1154(read)
        3   14.954    4.985   14.954    4.985 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.170    0.170 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection.py:105(_connect)
        1    0.000    0.000    0.111    0.111 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:188(connect_tcp)
        1    0.000    0.000    0.111    0.111 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/socket.py:808(create_connection)
        1    0.000    0.000    0.060    0.060 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/socket.py:938(getaddrinfo)
        1    0.060    0.060    0.060    0.060 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.059    0.059 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:144(start_tls)
        1    0.000    0.000    0.059    0.059 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:507(wrap_socket)
        1    0.000    0.000    0.059    0.059 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1014(_create)
        1    0.000    0.000    0.059    0.059 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1368(do_handshake)
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.050    0.050    0.050    0.050 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.041    0.020 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_client.py:67(__init__)
