         50017 function calls (47649 primitive calls) in 12.311 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.263   12.263 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_utils/_utils.py:241(wrapper)
        1    0.000    0.000   12.263   12.263 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/resources/messages/messages.py:868(create)
        1    0.000    0.000   12.262   12.262 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:1265(post)
        1    0.000    0.000   12.262   12.262 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:942(request)
        1    0.000    0.000   12.262   12.262 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:964(_request)
        1    0.000    0.000   12.234   12.234 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:879(send)
        1    0.000    0.000   12.234   12.234 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:930(_send_handling_auth)
        1    0.000    0.000   12.234   12.234 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:964(_send_handling_redirects)
        1    0.000    0.000   12.234   12.234 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:1001(_send_single_request)
        1    0.000    0.000   12.232   12.232 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_transports/default.py:230(handle_request)
        1    0.000    0.000   12.232   12.232 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection_pool.py:199(handle_request)
        1    0.000    0.000   12.232   12.232 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection.py:69(handle_request)
        1    0.000    0.000   12.054   12.054 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:65(handle_request)
        4    0.000    0.000   12.054    3.013 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:209(_receive_event)
        1    0.000    0.000   12.054   12.054 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/http11.py:170(_receive_response_headers)
        3    0.000    0.000   12.051    4.017 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:124(read)
        3    0.000    0.000   12.051    4.017 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1285(recv)
        3    0.000    0.000   12.051    4.017 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1154(read)
        3   12.051    4.017   12.051    4.017 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.177    0.177 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_sync/connection.py:105(_connect)
        1    0.000    0.000    0.113    0.113 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:188(connect_tcp)
        1    0.000    0.000    0.113    0.113 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/socket.py:808(create_connection)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/_backends/sync.py:144(start_tls)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:507(wrap_socket)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1014(_create)
        1    0.000    0.000    0.064    0.064 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/ssl.py:1368(do_handshake)
        1    0.064    0.064    0.064    0.064 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.060    0.060 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/socket.py:938(getaddrinfo)
        1    0.060    0.060    0.060    0.060 {built-in method _socket.getaddrinfo}
        1    0.053    0.053    0.053    0.053 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.046    0.023 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_client.py:67(__init__)
        2    0.000    0.000    0.046    0.023 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:781(__init__)
        2    0.000    0.000    0.046    0.023 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:750(__init__)
        2    0.000    0.000    0.046    0.023 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:639(__init__)
        2    0.000    0.000    0.041    0.020 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_client.py:718(_init_transport)
        2    0.000    0.000    0.041    0.020 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpx/_transports/default.py:136(__init__)
     56/2    0.000    0.000    0.029    0.015 <frozen importlib._bootstrap>:1022(_find_and_load)
     56/2    0.000    0.000    0.029    0.015 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     47/2    0.000    0.000    0.029    0.014 <frozen importlib._bootstrap>:664(_load_unlocked)
     46/2    0.000    0.000    0.029    0.014 <frozen importlib._bootstrap_external>:877(exec_module)
     54/2    0.000    0.000    0.028    0.014 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     76/2    0.002    0.000    0.028    0.014 {built-in method builtins.exec}
        1    0.000    0.000    0.025    0.025 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:445(_build_request)
        1    0.000    0.000    0.025    0.025 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/httpcore/__init__.py:1(<module>)
        1    0.000    0.000    0.024    0.024 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:410(_build_headers)
        1    0.000    0.000    0.024    0.024 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_client.py:158(default_headers)
        1    0.000    0.000    0.024    0.024 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:606(default_headers)
        1    0.000    0.000    0.024    0.024 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:646(platform_headers)
        1    0.000    0.000    0.024    0.024 /Users/williamduarte/.pyenv/versions/3.10.13/lib/python3.10/site-packages/anthropic/_base_client.py:2002(platform_headers)
